ID,ReciprocalFriend
404102292,153966123
404102292,2923048147
404102292,3287079950
404102292,3439585572
404102292,340474030
779379510055763968,153966123
779379510055763968,618457134
779379510055763968,290634863
779379510055763968,746857952322162688
779379510055763968,994833600
72559384,827657976
72559384,153966123
72559384,338275024
72559384,464989762
72559384,96850350
706157000,153966123
706157000,2674909261
706157000,544369830
706157000,753940380
706157000,379592150
576256688,153966123
576256688,22695018
576256688,301098368
576256688,274793767
576256688,245441097
183735745,16228398
183735745,13787352
183735745,1383272101
183735745,15235829
606412878,29122382
606412878,182042611
606412878,2612477528
606412878,159203186
606412878,893475366756536320
140883357,14763734
140883357,1262776610
140883357,25458378
140883357,43192340
140883357,6108862
19665271,23462787
19665271,17358750
19665271,248735463
19665271,45692284
19665271,806743370
293786612,14511951
293786612,7040932
293786612,23603092
293786612,10168082
293786612,1640929196
39088067,15693493
39088067,840897602
39088067,1396439852
39088067,204633530
39088067,322308666
27397922,437681996
27397922,38535159
27397922,1870282586
27397922,797344161712271361
27397922,1130192869
167554905,2170707846
167554905,1870282586
167554905,15525694
167554905,3311093739
167554905,802649176299466752
2205388728,17850012
2205388728,817951923626196992
2205388728,4516921219
2205388728,843947820
2205388728,532577970
106790805,518340481
106790805,1419370418
106790805,4702047619
106790805,817951923626196992
106790805,38535159
210957932,2922268330
210957932,165199036
210957932,1477872932
210957932,19259558
210957932,4025546663
3724175959,2922268330
3724175959,491710556
3724175959,18033816
3724175959,1330910840
3724175959,1216323763
1262776610,392339216
1262776610,4434880341
1262776610,50636597
1262776610,844930045789523969
1262776610,2873110287
63839488,78525538
63839488,32343441
63839488,2466899838
63839488,186853975
63839488,160567660
25387735,131497030
25387735,53775273
25387735,2835276183
25387735,2466899838
25387735,531561605
18533219,25203361
18533219,103130238
18533219,7429102
18533219,205864193
18533219,16223529
343438129,2934275751
343438129,2179292870
343438129,627670842
343438129,162569857
343438129,3131055833
308235132,46377406
308235132,937499232
308235132,50239585
308235132,33216799
308235132,15570213
22986148,85867265
22986148,1403919698
22986148,21244178
22986148,15443890
22986148,36279515
3182044304,25458378
3182044304,14463848
3182044304,851316548
3182044304,16667912
3182044304,34027852
2358191826,42417984
2358191826,14671775
2358191826,580878098
2358191826,4849655540
2358191826,2433335246
2463677318,518340481
2463677318,134700704
2463677318,1630543472
2463677318,364224436
2463677318,25673628
132774626,3363550486
132774626,762781174091620352
132774626,971516033214353409
167781199,28058751
167781199,339061487
167781199,22796398
167781199,122481454
167781199,121479089
1262776610,392339216
1262776610,50636597
1262776610,844930045789523969
1262776610,2873110287
1262776610,2928101207
17850785,402876415
17850785,2938477910
17850785,838899349
17850785,308483604
17850785,385040138
16126957,1594185690
16126957,2733166242
16126957,780500796
16126957,121958103
16126957,1554474914
